Program Year,Scenario,Disbursement Amount,County Years,Minimum Additional Disbursement,Maximum Additional Disbursement
2008,Boundary (Type 1),169233467.1299999,1,61678.5,61678.5
2008,Threshold (Type 2),169233467.1299999,2,330527.01,330527.01
2008,Payment Months (Type 3),169233467.1299999,28,18226752.35,43874878.5
2008,All Issues (Sum of Types),169233467.1299999,31,18618957.86,44267084.01
2008,All Issues (Census),169233467.1299999,31,18618957.86,44267084.01
2009,Boundary (Type 1),101414273.24999994,0,0,0
2009,Threshold (Type 2),101414273.24999994,3,1008511.49,1137146.15
2009,Payment Months (Type 3),101414273.24999994,1,0,0
2009,All Issues (Sum of Types),101414273.24999994,4,1008511.49,1137146.15
2009,All Issues (Census),101414273.24999994,3,621552.99,750187.65
2010,Boundary (Type 1),33016129.640000004,0,0,0
2010,Threshold (Type 2),33016129.640000004,0,0,0
2010,Payment Months (Type 3),33016129.640000004,12,1225439.37,1225439.37
2010,All Issues (Sum of Types),33016129.640000004,12,1225439.37,1225439.37
2010,All Issues (Census),33016129.640000004,12,1225439.37,1225439.37
2011,Boundary (Type 1),539116941.75,1,4163772,4163772
2011,Threshold (Type 2),539116941.75,1,873659,873659
2011,Payment Months (Type 3),539116941.75,719,600818692.97,910250542.24
2011,All Issues (Sum of Types),539116941.75,719,605856123.97,915287973.24
2011,All Issues (Census),539116941.75,719,599945033.97,910250542.24
2012,Boundary (Type 1),2579691600.5299997,3,8343401.17,8343401.17
2012,Threshold (Type 2),2579691600.5299997,16,17503833.78,17503833.78
2012,Payment Months (Type 3),2579691600.5299997,1166,1267967208.68,1561711553.66
2012,All Issues (Sum of Types),2579691600.5299997,1175,1293814443.63,1587558788.61
2012,All Issues (Census),2579691600.5299997,1171,1266496004.87,1572118728.77
2013,Boundary (Type 1),1622105323.61,4,11526409.71,11526409.71
2013,Threshold (Type 2),1622105323.61,6,4184804.98,4184804.98
2013,Payment Months (Type 3),1622105323.61,475,653531907.94,868491242.43
2013,All Issues (Sum of Types),1622105323.61,482,669243122.63,884202457.12
2013,All Issues (Census),1622105323.61,480,654158559.46,871580347.79
2014,Boundary (Type 1),909217989.2199999,1,739726,739726
2014,Threshold (Type 2),909217989.2199999,6,8635265.9,9034419.9
2014,Payment Months (Type 3),909217989.2199999,171,173506055.99,188182181.11
2014,All Issues (Sum of Types),909217989.2199999,178,182881047.89,197956327.01
2014,All Issues (Census),909217989.2199999,175,180933910.28,197739175.52
2015,Boundary (Type 1),532728931.94000006,3,3154110.67,3154110.67
2015,Threshold (Type 2),532728931.94000006,4,10012339,10012339
2015,Payment Months (Type 3),532728931.94000006,111,73293074.26,73293074.26
2015,All Issues (Sum of Types),532728931.94000006,118,86459523.93,86459523.93
2015,All Issues (Census),532728931.94000006,117,85987353.93,85987353.93
2016,Boundary (Type 1),286374232.09999996,1,124547.33,124547.33
2016,Threshold (Type 2),286374232.09999996,8,3987647.75,3987647.75
2016,Payment Months (Type 3),286374232.09999996,114,44372764.14,44372764.14
2016,All Issues (Sum of Types),286374232.09999996,122,48484959.22,48484959.22
2016,All Issues (Census),286374232.09999996,120,47903643.8,47933059.47
2017,Boundary (Type 1),358967748.79999995,3,281071.5,281071.5
2017,Threshold (Type 2),358967748.79999995,0,0,0
2017,Payment Months (Type 3),358967748.79999995,146,137157642.48,276601864.48
2017,All Issues (Sum of Types),358967748.79999995,148,137438713.98,276882935.98
2017,All Issues (Census),358967748.79999995,148,137438713.98,276882935.98
2018,Boundary (Type 1),488490196.18000007,3,1803146,1803146
2018,Threshold (Type 2),488490196.18000007,7,3541953.33,3541953.33
2018,Payment Months (Type 3),488490196.18000007,201,126837212.07,129828550.74
2018,All Issues (Sum of Types),488490196.18000007,207,132182311.4,135173650.07
2018,All Issues (Census),488490196.18000007,209,131687686.74,136356185.41
2019,Boundary (Type 1),118240811.98000002,0,0,0
2019,Threshold (Type 2),118240811.98000002,4,644884.33,644884.33
2019,Payment Months (Type 3),118240811.98000002,23,481886,481886
2019,All Issues (Sum of Types),118240811.98000002,27,1126770.33,1126770.33
2019,All Issues (Census),118240811.98000002,26,1018488,1018488
2020,Boundary (Type 1),390322565.37999994,2,1054194.29,1054194.29
2020,Threshold (Type 2),390322565.37999994,5,2179424.66,2179424.66
2020,Payment Months (Type 3),390322565.37999994,138,35921097.7,38952620.04
2020,All Issues (Sum of Types),390322565.37999994,145,39154716.65,42186238.99
2020,All Issues (Census),390322565.37999994,144,38552004.65,41660778.99
2021,Boundary (Type 1),917940348.9600005,0,0,0
2021,Threshold (Type 2),917940348.9600005,9,1070293.5,1070293.5
2021,Payment Months (Type 3),917940348.9600005,395,302697848.32,527619321.03
2021,All Issues (Sum of Types),917940348.9600005,403,303768141.82,528689614.53
2021,All Issues (Census),917940348.9600005,402,303757053.49,529795339.53
2022,Boundary (Type 1),1881211024.5999994,4,1462826.16,1462826.16
2022,Threshold (Type 2),1881211024.5999994,10,22449060.32,22449060.32
2022,Payment Months (Type 3),1881211024.5999994,491,673806063.81,809822962.93
2022,All Issues (Sum of Types),1881211024.5999994,500,697717950.29,833734849.41
2022,All Issues (Census),1881211024.5999994,501,679548395.72,817780711.09
2023,Boundary (Type 1),1831629633.4599998,5,4231024.83,4231024.83
2023,Threshold (Type 2),1831629633.4599998,15,12481762.17,16006510.5
2023,Payment Months (Type 3),1831629633.4599998,522,647173792.16,1123372232.43
2023,All Issues (Sum of Types),1831629633.4599998,535,663886579.16,1143609767.76
2023,All Issues (Census),1831629633.4599998,533,658344029.82,1145047082.34
2024,Boundary (Type 1),846991269.5400001,1,0,0
2024,Threshold (Type 2),846991269.5400001,6,970960.25,973848.58
2024,Payment Months (Type 3),846991269.5400001,163,81812784.99,93246194.55
2024,All Issues (Sum of Types),846991269.5400001,168,82783745.24,94220043.13
2024,All Issues (Census),846991269.5400001,168,81786382.66,94031665.21
2025,Boundary (Type 1),177419250.43,2,722890.8,722890.8
2025,Threshold (Type 2),177419250.43,2,107573.41,107573.41
2025,Payment Months (Type 3),177419250.43,121,24350894.06,26362061.32
2025,All Issues (Sum of Types),177419250.43,125,25181358.27,27192525.53
2025,All Issues (Census),177419250.43,124,25075266.66,27086433.92
