FSA County,Program Year,Scenario,Records,Disbursement Amount,Minimum Payment Ratio,Maximum Payment Ratio,Minimum Additional Disbursement,Maximum Additional Disbursement
01001,2011,Payment Months (Type 3),2,273530.68,1.5,3,136765.34,547061.36
01001,2011,All Issues (Census),2,273530.68,1.5,3,136765.34,547061.36
01003,2011,Payment Months (Type 3),2,82497,1.5,3,41248.5,164994
01003,2011,All Issues (Census),2,82497,1.5,3,41248.5,164994
01005,2011,Payment Months (Type 3),2,415735,3,3,831470,831470
01005,2011,All Issues (Census),2,415735,3,3,831470,831470
01007,2011,Payment Months (Type 3),2,64566,1.5,3,32283,129132
01007,2011,All Issues (Census),2,64566,1.5,3,32283,129132
01011,2011,Payment Months (Type 3),2,131257,3,3,262514,262514
01011,2011,All Issues (Census),2,131257,3,3,262514,262514
01013,2011,Payment Months (Type 3),2,259792,1.5,2,129896,259792
01013,2011,All Issues (Census),2,259792,1.5,2,129896,259792
01015,2012,Threshold (Type 2),2,598381,1.3333333333333333,1.3333333333333333,199460.33,199460.33
01015,2016,Payment Months (Type 3),1,857256,1.3333333333333333,1.3333333333333333,285752,285752
01015,2016,All Issues (Census),1,857256,1.3333333333333333,1.3333333333333333,285752,285752
01017,2011,Payment Months (Type 3),2,332291,1.5,3,166145.5,664582
01017,2011,All Issues (Census),2,332291,1.5,3,166145.5,664582
01019,2016,Payment Months (Type 3),1,885313,1.3333333333333333,1.3333333333333333,295104.33,295104.33
01019,2016,All Issues (Census),1,885313,1.3333333333333333,1.3333333333333333,295104.33,295104.33
01021,2011,Payment Months (Type 3),2,153896,1.5,3,76948,307792
01021,2011,All Issues (Census),2,153896,1.5,3,76948,307792
01025,2011,Payment Months (Type 3),2,23537,1.5,1.5,11768.5,11768.5
01025,2011,All Issues (Census),2,23537,1.5,1.5,11768.5,11768.5
01027,2011,Payment Months (Type 3),2,697053,1.5,1.5,348526.5,348526.5
01027,2011,All Issues (Census),2,697053,1.5,1.5,348526.5,348526.5
01027,2012,Payment Months (Type 3),1,1196839,1.3333333333333333,1.3333333333333333,398946.33,398946.33
01027,2012,All Issues (Census),1,1196839,1.3333333333333333,1.3333333333333333,398946.33,398946.33
01029,2011,Payment Months (Type 3),1,452660,1.5,1.5,226330,226330
01029,2011,All Issues (Census),1,452660,1.5,1.5,226330,226330
01029,2012,Payment Months (Type 3),1,794258,1.3333333333333333,1.3333333333333333,264752.67,264752.67
01029,2012,All Issues (Census),1,794258,1.3333333333333333,1.3333333333333333,264752.67,264752.67
01029,2016,Payment Months (Type 3),1,691865,1.3333333333333333,1.3333333333333333,230621.67,230621.67
01029,2016,All Issues (Census),1,691865,1.3333333333333333,1.3333333333333333,230621.67,230621.67
01031,2011,Payment Months (Type 3),2,550898,3,3,1101796,1101796
01031,2011,All Issues (Census),2,550898,3,3,1101796,1101796
01035,2011,Payment Months (Type 3),3,220108,1.5,3,110054,440216
01035,2011,All Issues (Census),3,220108,1.5,3,110054,440216
01037,2011,Payment Months (Type 3),2,116705,1.5,3,58352.5,233410
01037,2011,All Issues (Census),2,116705,1.5,3,58352.5,233410
01039,2011,Payment Months (Type 3),2,415585,1.5,3,207792.5,831170
01039,2011,All Issues (Census),2,415585,1.5,3,207792.5,831170
01039,2012,Threshold (Type 2),1,1705328,1.25,1.25,426332,426332
01041,2011,Payment Months (Type 3),3,232322,2,3,232322,464644
01041,2011,All Issues (Census),3,232322,2,3,232322,464644
01045,2011,Payment Months (Type 3),2,476786,3,3,953572,953572
01045,2011,All Issues (Census),2,476786,3,3,953572,953572
01047,2011,Payment Months (Type 3),2,1151426,1.5,3,575713,2302852
01047,2011,All Issues (Census),2,1151426,1.5,3,575713,2302852
01049,2016,Payment Months (Type 3),1,3410349,1.3333333333333333,1.3333333333333333,1136783,1136783
01049,2016,All Issues (Census),1,3410349,1.3333333333333333,1.3333333333333333,1136783,1136783
01051,2011,Payment Months (Type 3),2,422065,1.5,3,211032.5,844130
01051,2011,All Issues (Census),2,422065,1.5,3,211032.5,844130
01053,2011,Payment Months (Type 3),2,77263,1.5,3,38631.5,154526
01053,2011,All Issues (Census),2,77263,1.5,3,38631.5,154526
01055,2016,Payment Months (Type 3),1,1060546,1.3333333333333333,1.3333333333333333,353515.33,353515.33
01055,2016,All Issues (Census),1,1060546,1.3333333333333333,1.3333333333333333,353515.33,353515.33
01061,2011,Payment Months (Type 3),2,1020607,3,3,2041214,2041214
01061,2011,All Issues (Census),2,1020607,3,3,2041214,2041214
01067,2011,Payment Months (Type 3),2,734851,3,3,1469702,1469702
01067,2011,All Issues (Census),2,734851,3,3,1469702,1469702
01069,2011,Payment Months (Type 3),2,716992,3,3,1433984,1433984
01069,2011,All Issues (Census),2,716992,3,3,1433984,1433984
01071,2016,Payment Months (Type 3),1,1894714,1.3333333333333333,1.3333333333333333,631571.33,631571.33
01071,2016,All Issues (Census),1,1894714,1.3333333333333333,1.3333333333333333,631571.33,631571.33
