FIPS,FSA County,Program Year,Pasture Type,usdm-counties,usdm-counties-census-2020,usdm-counties-fsa-lfp,usdm-counties-reported,FSA Drought Factor,FSA Maximum Eligible Payment Months,FSA Payment Factor,Grazing Months,Discrepancy Type,Discrepancy Subtype,Discrepancy Payment Ratio,Census Payment Ratio
01001,01001,2008,Forage Sorghum,2,2,2,2,,,2,4.1,None,,1,1
01001,01001,2008,Improved Pasture,3,3,3,3,,,3,8.7,None,,1,1
01001,01001,2008,Small Grains,3,3,3,3,,,3,5.6,None,,1,1
01001,01001,2009,Forage Sorghum,0,0,0,0,,,0,6.1333,None,,1,1
01001,01001,2009,Improved Pasture,0,0,0,0,,,0,9.1667,None,,1,1
01001,01001,2009,Small Grains,0,0,0,0,,,0,5.5667,None,,1,1
01001,01001,2010,Forage Sorghum,0,0,0,0,,,0,6.1333,None,,1,1
01001,01001,2010,Improved Pasture,1,1,1,1,,,1,9.1667,None,,1,1
01001,01001,2010,Small Grains,0,0,0,0,,,0,5.5667,None,,1,1
01001,01001,2011,Forage Sorghum,3,3,3,3,,,1,6.1333,Type 3,Unexplained,3,3
01001,01001,2011,Improved Pasture,3,3,3,3,,,2,9.1667,Type 3,Unexplained,1.5,1.5
01001,01001,2011,Long Season Small Grains,0,0,0,0,,,0,5.5667,None,,1,1
01001,01001,2012,Forage Sorghum,0,0,0,0,,,0,6.1333,None,,1,1
01001,01001,2012,Improved Pasture,0,0,0,0,,,0,9.1667,None,,1,1
01001,01001,2012,Long Season Small Grains,3,3,3,3,3,5,3,5.6,None,,1,1
01001,01001,2013,Forage Sorghum,0,0,0,0,,,0,6.1333,None,,1,1
01001,01001,2013,Improved Pasture,0,0,0,0,,,0,9.1667,None,,1,1
01001,01001,2013,Long Season Small Grains,1,1,1,1,1,5,1,5.5667,None,,1,1
01001,01001,2014,Forage Sorghum,0,0,0,0,,,0,6.1333,None,,1,1
01001,01001,2014,Improved Pasture,0,0,0,0,,,0,9.1667,None,,1,1
01001,01001,2014,Long Season Small Grains,0,0,0,0,,,0,5.5667,None,,1,1
01001,01001,2015,Forage Sorghum,0,0,0,0,,,0,6.1333,None,,1,1
01001,01001,2015,Full Season Improved Pasture,0,0,0,0,,,0,9.1667,None,,1,1
01001,01001,2015,Long Season Small Grains,0,0,0,0,,,0,5.5667,None,,1,1
01001,01001,2016,Forage Sorghum,3,3,3,3,3,5,3,6.1333,None,,1,1
01001,01001,2016,Full Season Improved Pasture,4,4,4,4,4,5,4,10.1667,None,,1,1
01001,01001,2016,Long Season Small Grains,0,0,0,0,,,0,5.6,None,,1,1
01001,01001,2017,Annual Ryegrass,4,4,4,4,4,5,4,5.0333,None,,1,1
01001,01001,2017,Forage Sorghum,0,0,0,0,,,0,6.1333,None,,1,1
01001,01001,2017,Full Season Improved Pasture,4,4,4,4,4,5,4,10.6,None,,1,1
